Date,Account Type,Activity,Description,Quantity,Price ($),Amount ($),Cash Balance ($),CADUSD Rate,USDCAD Rate,MonthYear
2022-01-06,Tax-Free Savings Account - CDN,Distribution,ISHRS CORE S&P US TOT,0.0,12.0,2.06,"1,327.98",0.7837,1.0,01-2022
2022-01-06,Tax-Free Savings Account - CDN,Distribution,ISHARES JPM USD E/M ETF,0.0,24.0,1.22,"1,329.20",0.7837,1.0,01-2022
2022-01-13,Tax-Free Savings Account - CDN,Transfer Out,TRANSFER OUT FROM TFSA -,0.0,0.0,-1100.0,229.20,0.7999,1.0,01-2022
2022-01-21,Tax-Free Savings Account - CDN,Contribution,JW TSF FR,0.0,6037568.0,2000.0,"2,229.20",0.8,1.0,01-2022
2022-01-24,Tax-Free Savings Account - CDN,Transfer Out,TRANSFER OUT FROM TFSA -,0.0,0.0,-1500.0,729.20,0.7961,1.0,01-2022
2022-01-31,Tax-Free Savings Account - CDN,Distribution,ISHARES JPM USD E/M ETF,0.0,24.0,1.15,730.35,0.7838,1.0,01-2022
2022-01-31,Tax-Free Savings Account - CDN,Dividends,TORONTO DOMINION BANK,0.0,11.0,9.79,740.14,0.7838,1.0,01-2022
2023-01-05,Tax-Free Savings Account - CDN,Distribution,ISHRS CORE S&P US TOT,0.0,12.0,2.51,109.29,0.7416,1.0,01-2023
2023-01-05,Tax-Free Savings Account - CDN,Distribution,ISHARES JPM USD E/M ETF,0.0,24.0,1.25,110.54,0.7416,1.0,01-2023
2023-01-31,Tax-Free Savings Account - CDN,Distribution,ISHARES JPM USD E/M ETF,0.0,24.0,1.22,111.76,0.7472,1.0,01-2023
2023-01-31,Tax-Free Savings Account - CDN,Dividends,TORONTO DOMINION BANK,0.0,11.0,10.56,122.32,0.7472,1.0,01-2023
2024-01-04,Tax-Free Savings Account - CDN,Distribution,ISHRS CORE S&P US TOT,0.0,12.0,2.06,17.34,0.7492,1.0,01-2024
2024-01-04,Tax-Free Savings Account - CDN,Distribution,ISHARES JPM USD E/M ETF,0.0,24.0,1.44,18.78,0.7492,1.0,01-2024
2024-01-18,Tax-Free Savings Account - CDN,Sell,BITFARMS LTD YM- -,0.0,3.02,1047.01,"1,065.79",0.7406,1.0,01-2024
2024-01-31,Tax-Free Savings Account - CDN,Distribution,ISHARES JPM USD E/M ETF,0.0,24.0,1.22,"1,067.01",0.7462,1.0,01-2024
2024-01-31,Tax-Free Savings Account - CDN,Dividends,TORONTO DOMINION BANK,0.0,11.0,11.22,"1,078.23",0.7462,1.0,01-2024
2022-02-28,Tax-Free Savings Account - CDN,Distribution,ISHARES JPM USD E/M ETF,0.0,24.0,1.15,741.29,0.784,1.0,02-2022
2023-02-28,Tax-Free Savings Account - CDN,Distribution,ISHARES JPM USD E/M ETF,0.0,24.0,1.22,123.54,0.7367,1.0,02-2023
2024-02-14,Tax-Free Savings Account - CDN,Buy,SHOPIFY INC CL-A SVS -,8.0,123.0,-993.99,84.24,0.7371,1.0,02-2024
2024-02-29,Tax-Free Savings Account - CDN,Distribution,ISHARES JPM USD E/M ETF,0.0,24.0,1.22,85.46,0.7365,1.0,02-2024
2022-01-07,Tax-Free Savings Account - CDN,Dividends ,ISHRS CORE S&P US TOT,0.0,0.0,-1.48,739.81,0.7855,1.0,01-2022
2022-01-07,Tax-Free Savings Account - CDN,Capital Gains ,ISHRS CORE S&P US TOT,0.0,0.0,1.48,741.29,0.7855,1.0,01-2022
2022-03-09,Tax-Free Savings Account - CDN,Contribution,WY TSF FR,0.0,6037568.0,1000.0,"1,741.29",0.7759,1.0,03-2022
2022-03-11,Tax-Free Savings Account - CDN,Buy,SUNCOR ENERGY INC NEW -,25.0,40.25,-1016.24,725.05,0.784,1.0,03-2022
2022-03-15,Tax-Free Savings Account - CDN,Contribution,WU TSF FR,0.0,6037568.0,2000.0,"2,725.05",0.78,1.0,03-2022
2022-03-16,Tax-Free Savings Account - CDN,Transfer Out,TRANSFER OUT FROM TFSA -,0.0,0.0,-2000.0,725.05,0.7832,1.0,03-2022
2022-03-31,Tax-Free Savings Account - CDN,Distribution,ISHRS CORE S&P US TOT,0.0,12.0,1.55,726.60,0.8011,1.0,03-2022
2022-03-31,Tax-Free Savings Account - CDN,Distribution,ISHARES JPM USD E/M ETF,0.0,24.0,1.15,727.75,0.8011,1.0,03-2022
2023-12-30,Tax-Free Savings Account - CDN,Dividends ,ISHRS CORE S&P US TOT,0.0,0.0,-3.91,119.63,0.7559,1.0,12-2023
2023-12-30,Tax-Free Savings Account - CDN,Distribution,ISHRS CORE S&P US TOT -,0.0,0.0,3.91,123.54,0.7559,1.0,12-2023
2023-03-24,Tax-Free Savings Account - CDN,Dividends,SUNCOR ENERGY INC NEW,0.0,25.0,13.0,136.54,0.729,1.0,03-2023
2023-03-31,Tax-Free Savings Account - CDN,Contribution,JO TSF FR,0.0,6037568.0,4000.0,"4,136.54",0.7395,1.0,03-2023
2023-03-31,Tax-Free Savings Account - CDN,Distribution,ISHRS CORE S&P US TOT,0.0,12.0,1.82,"4,138.36",0.7395,1.0,03-2023
2023-03-31,Tax-Free Savings Account - CDN,Distribution,ISHARES JPM USD E/M ETF,0.0,24.0,1.22,"4,139.58",0.7395,1.0,03-2023
2024-03-28,Tax-Free Savings Account - CDN,Distribution,ISHRS CORE S&P US TOT,0.0,12.0,1.57,87.03,0.7361,1.0,03-2024
2024-03-28,Tax-Free Savings Account - CDN,Distribution,ISHARES JPM USD E/M ETF,0.0,24.0,1.22,88.25,0.7361,1.0,03-2024
2021-04-14,Tax-Free Savings Account - CDN,Contribution,HW TSF FR,0.0,6037568.0,1403.95,"1,403.95",0.7976,1.0,04-2021
2021-04-15,Tax-Free Savings Account - CDN,Transfer Out,TRANSFER OUT FROM TFSA -,0.0,0.0,-1403.95,0.00,0.7989,1.0,04-2021
2021-04-15,Tax-Free Savings Account - CDN,Contribution,IQ TSF FR,0.0,6037568.0,2000.0,"2,000.00",0.7989,1.0,04-2021
2021-04-21,Tax-Free Savings Account - CDN,Transfer Out,TRANSFER OUT FROM TFSA -,0.0,0.0,-1000.0,"1,000.00",0.7929,1.0,04-2021
2022-04-29,Tax-Free Savings Account - CDN,Distribution,ISHARES JPM USD E/M ETF,0.0,24.0,1.32,729.07,0.781,1.0,04-2022
2023-04-28,Tax-Free Savings Account - CDN,Distribution,ISHARES JPM USD E/M ETF,0.0,24.0,1.32,"4,140.90",0.7353,1.0,04-2023
2024-04-30,Tax-Free Savings Account - CDN,Distribution,ISHARES JPM USD E/M ETF,0.0,24.0,1.18,89.43,0.7317,1.0,04-2024
2024-04-30,Tax-Free Savings Account - CDN,Dividends,TORONTO DOMINION BANK,0.0,11.0,11.22,100.65,0.7317,1.0,04-2024
2021-05-06,Tax-Free Savings Account - CDN,Buy,ISHRS CORE S&P US TOT -,12.0,39.0,-477.99,522.01,0.8152,1.0,05-2021
2021-05-06,Tax-Free Savings Account - CDN,Buy,ISHARES JPM USD E/M ETF -,24.0,19.98,-489.51,32.50,0.8152,1.0,05-2021
2021-05-28,Tax-Free Savings Account - CDN,Distribution,ISHARES JPM USD E/M ETF,0.0,24.0,1.32,33.82,0.8285,1.0,05-2021
2022-04-30,Tax-Free Savings Account - CDN,Dividends,TORONTO DOMINION BANK,0.0,11.0,9.79,738.86,0.781,1.0,04-2022
2022-05-31,Tax-Free Savings Account - CDN,Distribution,ISHARES JPM USD E/M ETF,0.0,24.0,1.32,740.18,0.7902,1.0,05-2022
2023-04-30,Tax-Free Savings Account - CDN,Dividends,TORONTO DOMINION BANK,0.0,11.0,10.56,"4,151.46",0.7353,1.0,04-2023
