Date,Account Type,Description,Quantity,Price,Book Cost,Market Value,CADUSD Conversion Rate,USDCAD Conversion Rate,Ticker,Industry
03/2023,Tax-Free Savings Account - US,Cash,0.0,0.0,155.94,155.94,1.0,1.352190017700195,CASH,Banks - Regional
03/2023,Tax-Free Savings Account - US,BMO MICRO FANG+TM ETN NEW (FNGU ),17.0,103.46,1453.12,1758.82,1.0,1.352190017700195,FNGU,n/a
03/2023,Tax-Free Savings Account - US,BOEING COMPANY (BA),3.0,212.43,721.68,637.29,1.0,1.352190017700195,BA,Aerospace & Defense
03/2023,Tax-Free Savings Account - US,COINBASE GLOBAL INC CL A (COIN ),3.0,67.57,1007.1,202.71,1.0,1.352190017700195,COIN,Financial Data & Stock Exchanges
03/2023,Tax-Free Savings Account - US,COSTCO WHOLESALE CORP (COST ),2.0,496.87,1015.91,993.74,1.0,1.352190017700195,COST,Discount Stores
03/2023,Tax-Free Savings Account - US,INVESCO NASDAQ 100 ETF (QQQM ),10.0,132.01,1508.99,1320.1,1.0,1.352190017700195,QQQM,n/a
03/2023,Tax-Free Savings Account - US,NETFLIX INC (NFLX ),3.0,345.48,1125.99,1036.44,1.0,1.352190017700195,NFLX,Entertainment
03/2023,Tax-Free Savings Account - US,PROSHS BITCOIN STRAT ETF (BITO ),11.0,17.52,485.47,192.72,1.0,1.352190017700195,BITO,n/a
02/2023,Tax-Free Savings Account - US,Cash,0.0,0.0,152.84,152.84,1.0,1.3573999404907229,CASH,Banks - Regional
02/2023,Tax-Free Savings Account - US,BMO MICRO FANG+TM ETN NEW (FNGU ),17.0,74.23,1453.12,1261.91,1.0,1.3573999404907229,FNGU,n/a
02/2023,Tax-Free Savings Account - US,BOEING COMPANY (BA),3.0,201.55,721.68,604.65,1.0,1.3573999404907229,BA,Aerospace & Defense
02/2023,Tax-Free Savings Account - US,COINBASE GLOBAL INC CL A (COIN ),3.0,64.83,1007.1,194.49,1.0,1.3573999404907229,COIN,Financial Data & Stock Exchanges
02/2023,Tax-Free Savings Account - US,COSTCO WHOLESALE CORP (COST ),2.0,484.18,1015.91,968.36,1.0,1.3573999404907229,COST,Discount Stores
02/2023,Tax-Free Savings Account - US,INVESCO NASDAQ 100 ETF (QQQM ),10.0,120.79,1508.99,1207.9,1.0,1.3573999404907229,QQQM,n/a
02/2023,Tax-Free Savings Account - US,NETFLIX INC (NFLX ),3.0,322.13,1125.99,966.39,1.0,1.3573999404907229,NFLX,Entertainment
02/2023,Tax-Free Savings Account - US,PROSHS BITCOIN STRAT ETF (BITO ),11.0,14.45,485.47,158.95,1.0,1.3573999404907229,BITO,n/a
01/2022,Tax-Free Savings Account - CDN,Cash,0.0,0.0,740.14,740.14,0.7837543487548828,1.0,CASH,Banks - Regional
01/2022,Tax-Free Savings Account - CDN,ISHRS CORE S P US TOT ETF (XUU),12.0,42.93,477.99,515.16,0.7837543487548828,1.0,XUU,n/a
01/2022,Tax-Free Savings Account - CDN,LIGHTSPEED COMMERCE SVS (LSPD),10.0,41.26,897.59,412.6,0.7837543487548828,1.0,LSPD,Software - Application
01/2022,Tax-Free Savings Account - CDN,LION ELECTRIC COMPANY (LEV ),32.0,11.08,512.39,354.56,0.7837543487548828,1.0,LEV,n/a
01/2022,Tax-Free Savings Account - CDN,ISHARES JPM USD E M ETF (XEB),24.0,18.98,489.51,455.52,0.7837543487548828,1.0,XEB,n/a
01/2022,Tax-Free Savings Account - CDN,TORONTO DOMINION BANK (TD ),11.0,101.81,1066.54,1119.91,0.7837543487548828,1.0,TD,Banks - Diversified
09/2021,Tax-Free Savings Account - US,Cash,0.0,0.0,163.92,163.92,1.0,1.27538001537323,CASH,Banks - Regional
09/2021,Tax-Free Savings Account - US,BOEING COMPANY (BA),3.0,219.94,721.68,659.82,1.0,1.27538001537323,BA,Aerospace & Defense
09/2021,Tax-Free Savings Account - US,COINBASE GLOBAL INC CL A (COIN ),3.0,227.48,1007.1,682.44,1.0,1.27538001537323,COIN,Financial Data & Stock Exchanges
08/2021,Tax-Free Savings Account - US,Cash,0.0,0.0,163.92,163.92,1.0,1.260890007019043,CASH,Banks - Regional
08/2021,Tax-Free Savings Account - US,BOEING COMPANY (BA),3.0,219.5,721.68,658.5,1.0,1.260890007019043,BA,Aerospace & Defense
08/2021,Tax-Free Savings Account - US,COINBASE GLOBAL INC CL A (COIN ),3.0,259.0,1007.1,777.0,1.0,1.260890007019043,COIN,Financial Data & Stock Exchanges
01/2023,Tax-Free Savings Account - CDN,Cash,0.0,0.0,122.32,122.32,0.747171938419342,1.0,CASH,Banks - Regional
01/2023,Tax-Free Savings Account - CDN,ISHRS CORE S P US TOT ETF (XUU),12.0,40.5,479.31,486.0,0.747171938419342,1.0,XUU,n/a
01/2023,Tax-Free Savings Account - CDN,LIGHTSPEED COMMERCE SVS (LSPD),10.0,24.07,897.59,240.7,0.747171938419342,1.0,LSPD,Software - Application
01/2023,Tax-Free Savings Account - CDN,LION ELECTRIC COMPANY (LEV ),32.0,3.49,512.39,111.68,0.747171938419342,1.0,LEV,n/a
01/2023,Tax-Free Savings Account - CDN,ISHARES JPM USD E M ETF (XEB),24.0,15.66,489.35,375.84,0.747171938419342,1.0,XEB,n/a
01/2023,Tax-Free Savings Account - CDN,SUNCOR ENERGY INC NEW (SU),25.0,46.18,1016.24,1154.5,0.747171938419342,1.0,SU,Oil & Gas Integrated
01/2023,Tax-Free Savings Account - CDN,TORONTO DOMINION BANK (TD ),11.0,92.06,1066.54,1012.66,0.747171938419342,1.0,TD,Banks - Diversified
02/2022,Tax-Free Savings Account - US,Cash,0.0,0.0,219.93,219.93,1.0,1.2755199670791626,CASH,Banks - Regional
02/2022,Tax-Free Savings Account - US,BOEING COMPANY (BA),3.0,205.34,721.68,616.02,1.0,1.2755199670791626,BA,Aerospace & Defense
02/2022,Tax-Free Savings Account - US,COINBASE GLOBAL INC CL A (COIN ),3.0,190.77,1007.1,572.31,1.0,1.2755199670791626,COIN,Financial Data & Stock Exchanges
02/2022,Tax-Free Savings Account - US,COSTCO WHOLESALE CORP (COST ),2.0,519.25,1015.91,1038.5,1.0,1.2755199670791626,COST,Discount Stores
