Date,Portfolio Value,MonthYear,Contributions,Cash Flow (ex-Contributions),SPX Return,Monthly MWR,SPX Adjusted Return,Cumulative MWR,Cumulative SPX Adjusted Return
2021-04-01,2574.3543148231506,04-2021,"[(Timestamp('2021-04-14 00:00:00'), 1119.79052), (Timestamp('2021-04-15 00:00:00'), 1597.8000000000002)]",0.0,,0.0,0.0,0.0,0.0
2021-05-01,2428.4071707844732,05-2021,[],1.09362,0.0054864886706069,-0.05628003236265646,0.0054864886706069,-0.05628003236265644,0.00548648867060697
2021-06-01,2457.7498666405677,06-2021,[],1.9199460000000002,0.0222140095658347,0.0128787980776016,0.0222140095658347,-0.04412605345765441,0.027822375148253364
2021-07-01,2376.68846183002,07-2021,[],1.020191,0.0227480548283887,-0.032573683817437436,0.0227480548283887,-0.07526238916165084,0.05120333489197049
2021-08-01,2431.5782239580153,08-2021,[],1.007237,0.0289904162554386,0.023523813991451183,0.0289904162554386,-0.053509033613390655,0.08167815713959392
2021-09-01,2300.3746609020236,09-2021,[],0.0,-0.047569168801901,-0.05395819133567679,-0.047569168801901,-0.10457997427516896,0.03022362629329134
2021-10-01,2858.9627318167686,10-2021,"[(Timestamp('2021-10-19 00:00:00'), 323.32)]",2.8094040000000002,0.0691438364006065,0.1035567651554736,0.06388959141074271,-0.011853172955674451,0.09604419283886334
2021-11-01,4804.321087608933,11-2021,"[(Timestamp('2021-11-04 00:00:00'), 807.9), (Timestamp('2021-11-08 00:00:00'), 803.2), (Timestamp('2021-11-24 00:00:00'), 788.9000000000001)]",0.957822,-0.0083337061847461,-0.1587159951802171,-0.037584830966924845,-0.16868787999418844,0.05484955711873507
2021-12-01,5982.829696481228,12-2021,"[(Timestamp('2021-12-03 00:00:00'), 780.2), (Timestamp('2021-12-03 00:00:00'), 780.2)]",0.0,0.0436129134620648,-0.079489148240457,0.05359442821752916,-0.2347681723354189,0.11138361598802748
2022-01-01,7330.151933841706,01-2022,"[(Timestamp('2022-01-21 00:00:00'), 1600.0)]",11.145308,-0.0525851650273938,-0.04040896601156463,-0.039944700271286195,-0.26569039925048443,0.06698973056096746
2022-02-01,7165.028676076531,02-2022,[],2.2416,-0.0313604919459082,-0.022224192358459627,-0.0313604919459082,-0.28200983706820537,0.0335284077093434
2022-03-01,9678.431678156852,03-2022,"[(Timestamp('2022-03-09 00:00:00'), 775.9000000000001), (Timestamp('2022-03-15 00:00:00'), 1560.0)]",2.16297,0.0357732883715462,0.02507916366968477,0.0710487442517508,-0.2640032442588153,0.10695930322560376
2022-04-01,8334.837237744332,04-2022,[],8.67691,-0.087956711804343,-0.13799120118667277,-0.087956711804343,-0.36556432065303557,0.009594802812653125
2022-05-01,8052.458633153438,05-2022,[],2.573064,5.317770464463578e-05,-0.033575833312515284,5.317770464463578e-05,-0.3868660272703016,0.009648490746887894
2022-06-01,7305.036337462663,06-2022,[],12.696952,-0.0839199999338268,-0.09131607756317084,-0.0839199999338268,-0.4428550166807018,-0.07508121052977923
2022-07-01,7962.616991183758,07-2022,[],8.768384000000001,0.09111639173021,0.09127133962771516,0.09111639173021,-0.3920036476862885,0.00919405221022096
2022-08-01,7670.8816612052915,08-2022,[],2.63016,-0.0424401282729983,-0.03631386107533736,-0.0424401282729983,-0.4140823427585205,-0.03363627281792769
